# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	blocks	f1score	accuracy
1.060000000000000000e+02 7.924528301886792914e-01 7.300000000000000000e+01 2.222222222222222099e-01 2.028985507246376940e-01 8.600000000000000000e+01 1.000000000000000000e+02 3.471074380165289353e-01 2.028985507246376940e-01
2.710000000000000000e+02 4.797047970479704770e-01 7.300000000000000000e+01 1.286899364469698548e-03 1.284572286835110235e-03 2.260000000000000000e+02 1.000000000000000000e+02 2.566912497902042699e-03 1.284572286835110235e-03
1.850000000000000000e+02 5.783783783783783550e-01 7.300000000000000000e+01 4.331983805668015997e-01 2.750642673521850878e-01 1.670000000000000000e+02 1.000000000000000000e+02 4.953703703703703498e-01 2.750642673521850878e-01
1.780000000000000000e+02 5.842696629213482984e-01 7.300000000000000000e+01 9.682524904571268229e-03 9.593210958398672508e-03 1.520000000000000000e+02 1.000000000000000000e+02 1.904936349482553443e-02 9.593210958398672508e-03
1.440000000000000000e+02 7.291666666666666297e-01 7.300000000000000000e+01 5.737704918032786594e-01 4.268292682926829174e-01 1.120000000000000000e+02 1.000000000000000000e+02 6.422018348623853568e-01 4.268292682926829174e-01
1.150000000000000000e+02 9.652173913043478048e-01 7.300000000000000000e+01 9.910714285714286031e-01 7.500000000000000000e-01 9.000000000000000000e+01 1.000000000000000000e+02 9.779735682819383769e-01 7.500000000000000000e-01
2.600000000000000000e+01 7.307692307692307265e-01 7.300000000000000000e+01 9.499999999999999556e-01 7.037037037037037202e-01 2.100000000000000000e+01 1.000000000000000000e+02 8.260869565217391353e-01 7.037037037037037202e-01
4.000000000000000000e+01 2.750000000000000222e-01 7.300000000000000000e+01 6.875000000000000000e-01 2.340425531914893664e-01 3.600000000000000000e+01 1.000000000000000000e+02 3.928571428571428492e-01 2.340425531914893664e-01
3.600000000000000000e+01 4.722222222222222099e-01 7.300000000000000000e+01 9.444444444444444198e-01 4.594594594594594850e-01 3.100000000000000000e+01 1.000000000000000000e+02 6.296296296296296502e-01 4.594594594594594850e-01
2.000000000000000000e+01 8.499999999999999778e-01 7.300000000000000000e+01 9.444444444444444198e-01 8.095238095238095344e-01 1.500000000000000000e+01 1.000000000000000000e+02 8.947368421052631637e-01 8.095238095238095344e-01
1.600000000000000000e+01 1.000000000000000000e+00 7.300000000000000000e+01 1.000000000000000000e+00 1.000000000000000000e+00 1.200000000000000000e+01 1.000000000000000000e+02 1.000000000000000000e+00 1.000000000000000000e+00
