# truecount	recall	nodecounts	precision	adjaccuracy	truenodecounts	f1score	accuracy
1.100000000000000000e+02 1.000000000000000000e+00 9.300000000000000000e+01 9.282700421940928703e-02 9.282700421940928703e-02 3.400000000000000000e+01 1.698841698841698777e-01 9.282700421940928703e-02
3.100000000000000000e+02 7.032258064516129226e-01 9.300000000000000000e+01 4.451705125587094442e-02 4.369613148927641022e-02 1.000000000000000000e+02 8.373343575955444207e-02 4.369613148927641022e-02
4.400000000000000000e+01 9.318181818181817677e-01 9.300000000000000000e+01 4.141414141414141437e-01 4.019607843137255054e-01 2.300000000000000000e+01 5.734265734265734382e-01 4.019607843137255054e-01
8.500000000000000000e+01 7.882352941176470340e-01 9.300000000000000000e+01 7.613636363636363535e-01 6.320754716981131782e-01 4.800000000000000000e+01 7.745664739884392525e-01 6.320754716981131782e-01
2.030000000000000000e+02 8.620689655172413257e-01 9.300000000000000000e+01 1.113231552162849830e-01 1.093750000000000000e-01 1.170000000000000000e+02 1.971830985915492829e-01 1.093750000000000000e-01
1.680000000000000000e+02 9.285714285714286031e-01 9.300000000000000000e+01 8.492106695699509766e-02 8.436992969172525669e-02 6.800000000000000000e+01 1.556109725685785594e-01 8.436992969172525669e-02
8.400000000000000000e+01 8.333333333333333703e-01 9.300000000000000000e+01 2.017291066282420886e-01 1.939058171745152437e-01 4.600000000000000000e+01 3.248259860788862974e-01 1.939058171745152437e-01
3.320000000000000000e+02 8.132530120481927804e-01 9.300000000000000000e+01 1.277804070042593554e-01 1.241379310344827569e-01 1.120000000000000000e+02 2.208588957055214741e-01 1.241379310344827569e-01
2.440000000000000000e+02 8.278688524590164244e-01 9.300000000000000000e+01 4.853435848149927762e-02 4.804947668886774825e-02 8.500000000000000000e+01 9.169314571039491324e-02 4.804947668886774825e-02
1.370000000000000000e+02 9.343065693430656626e-01 9.300000000000000000e+01 1.136767317939609279e-01 1.127753303964757758e-01 6.100000000000000000e+01 2.026920031670625399e-01 1.127753303964757758e-01
2.690000000000000000e+02 5.762081784386616778e-01 9.300000000000000000e+01 8.908045977011493921e-01 5.381944444444444198e-01 1.050000000000000000e+02 6.997742663656885131e-01 5.381944444444444198e-01
1.600000000000000000e+02 6.062499999999999556e-01 9.300000000000000000e+01 7.080291970802919943e-01 4.849999999999999867e-01 7.100000000000000000e+01 6.531986531986532230e-01 4.849999999999999867e-01
1.850000000000000000e+02 9.621621621621622156e-01 9.300000000000000000e+01 1.133757961783439516e-01 1.128725428027901045e-01 9.500000000000000000e+01 2.028490028490028407e-01 1.128725428027901045e-01
5.600000000000000000e+01 1.000000000000000000e+00 9.300000000000000000e+01 2.304526748971193473e-01 2.304526748971193473e-01 3.500000000000000000e+01 3.745819397993310762e-01 2.304526748971193473e-01
4.500000000000000000e+01 7.777777777777777901e-01 9.300000000000000000e+01 9.722222222222222099e-01 7.608695652173913526e-01 2.700000000000000000e+01 8.641975308641974829e-01 7.608695652173913526e-01
4.800000000000000000e+01 9.583333333333333703e-01 9.300000000000000000e+01 1.908713692946057972e-01 1.893004115226337436e-01 2.400000000000000000e+01 3.183391003460207536e-01 1.893004115226337436e-01
4.400000000000000000e+01 9.772727272727272929e-01 9.300000000000000000e+01 1.557971014492753603e-01 1.552346570397112047e-01 2.500000000000000000e+01 2.687499999999999889e-01 1.552346570397112047e-01
6.700000000000000000e+01 9.402985074626866169e-01 9.300000000000000000e+01 1.175373134328358271e-01 1.166666666666666685e-01 4.700000000000000000e+01 2.089552238805970075e-01 1.166666666666666685e-01
9.700000000000000000e+01 9.175257731958762486e-01 9.300000000000000000e+01 7.472712006717044386e-02 7.422852376980818012e-02 4.700000000000000000e+01 1.381987577639751663e-01 7.422852376980818012e-02
